,car_name,brand,model,vehicle_age,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_km_driven
39,Hyundai i20,Hyundai,i20,2,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,15.251186503524336
40,Hyundai i20,Hyundai,i20,3,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,15.053247125912426
41,Mahindra Scorpio,Mahindra,Scorpio,4,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,15.609640474436812
42,Volkswagen Vento,Volkswagen,Vento,9,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,16.240045945919135
43,Hyundai Verna,Hyundai,Verna,8,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,15.547015000894591
44,Mahindra XUV500,Mahindra,XUV500,3,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000,14.392049039364185
45,Hyundai Grand,Hyundai,Grand,6,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,16.194602975157967
46,Maruti Swift Dzire,Maruti,Swift Dzire,3,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,14.872674880270605
47,Hyundai Grand,Hyundai,Grand,3,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,15.609640474436812
48,Honda Amaze,Honda,Amaze,7,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,15.609640474436812
49,Maruti Wagon R,Maruti,Wagon R,15,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,15.175237650291036
50,Maruti Swift Dzire,Maruti,Swift Dzire,5,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,15.520373136339725
51,Honda City,Honda,City,8,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,16.095067301607052
52,Renault KWID,Renault,KWID,5,Individual,Petrol,Manual,25.17,799,53.3,5,240000,14.609640474436812
53,Maruti Vitara,Maruti,Vitara,3,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,14.66622400280318
54,Hyundai i20,Hyundai,i20,8,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,13.872674880270605
55,Maruti Swift,Maruti,Swift,10,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,17.28771237954945
56,Hyundai i20,Hyundai,i20,5,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,14.425215903299383
57,Mahindra Scorpio,Mahindra,Scorpio,5,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,15.425215903299383
58,Volkswagen Polo,Volkswagen,Polo,5,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,16.251186503524334
59,Maruti Wagon R,Maruti,Wagon R,7,Individual,Petrol,Manual,20.51,998,67.04,5,350000,15.175237650291036
60,Honda City,Honda,City,7,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,16.074308741440255
61,Maruti Baleno,Maruti,Baleno,5,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,15.66622400280318
62,Toyota Innova,Toyota,Innova,5,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,16.872674880270605
63,Maruti Alto,Maruti,Alto,8,Individual,Petrol,Manual,22.74,796,47.3,5,230000,15.747143998186747
64,Hyundai i20,Hyundai,i20,10,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,17.28771237954945
65,Ford Figo,Ford,Figo,10,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,15.287712379549449
66,Maruti Swift Dzire,Maruti,Swift Dzire,9,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,15.4893462407191
67,Maruti Baleno,Maruti,Baleno,4,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,14.609640474436812
68,Volkswagen Polo,Volkswagen,Polo,8,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,16.457637380991763
69,Hyundai i20,Hyundai,i20,9,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,15.597063216872725
70,Hyundai Verna,Hyundai,Verna,3,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,13.77313920671969
71,Hyundai i20,Hyundai,i20,5,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,13.425215903299383
72,Maruti Celerio,Maruti,Celerio,3,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,12.287712379549449
73,Ford Ecosport,Ford,Ecosport,4,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,15.747143998186747
74,Hyundai Verna,Hyundai,Verna,9,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,15.988152097690541
75,Renault KWID,Renault,KWID,3,Individual,Petrol,Manual,23.01,999,67.0,5,330000,14.425215903299383
76,Maruti Wagon R,Maruti,Wagon R,5,Individual,Petrol,Manual,20.51,998,67.04,5,325000,16.01017840402054
77,Maruti Swift Dzire,Maruti,Swift Dzire,3,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,15.462630074789038
78,Hyundai Verna,Hyundai,Verna,6,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,16.872674880270605
79,Maruti Swift,Maruti,Swift,7,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,14.77313920671969
80,Hyundai i20,Hyundai,i20,8,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,15.747143998186747
81,Hyundai Verna,Hyundai,Verna,2,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,13.77313920671969
82,Maruti Wagon R,Maruti,Wagon R,12,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,16.591931348265806
83,Maruti Swift,Maruti,Swift,6,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,15.82376527978966
84,Maruti Alto,Maruti,Alto,10,Individual,Petrol,Manual,20.92,998,67.1,5,251000,14.872674880270605
85,Mahindra Scorpio,Mahindra,Scorpio,5,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,15.501837184902296
86,Mahindra Scorpio,Mahindra,Scorpio,4,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,14.872674880270605
87,Maruti Swift Dzire,Maruti,Swift Dzire,4,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,14.609640474436812
88,Hyundai Creta,Hyundai,Creta,4,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,16.638209626633582
89,Maruti Swift,Maruti,Swift,3,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,15.095067301607054
90,Maruti Swift Dzire,Maruti,Swift Dzire,9,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,15.608139290843441
91,Ford Ecosport,Ford,Ecosport,3,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,15.747143998186747
92,Hyundai Grand,Hyundai,Grand,6,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,15.1357092861044
93,Honda City,Honda,City,5,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,15.598779481805044
94,Maruti Swift Dzire,Maruti,Swift Dzire,7,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,15.095067301607054
95,Mahindra Scorpio,Mahindra,Scorpio,8,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,16.535639892993036
96,Maruti Wagon R,Maruti,Wagon R,2,Individual,Petrol,Manual,21.79,998,67.05,5,411000,15.609640474436812
97,Maruti Swift Dzire,Maruti,Swift Dzire,6,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,14.693704739225286
98,Volkswagen Polo,Volkswagen,Polo,6,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,15.4893462407191
99,Hyundai Grand,Hyundai,Grand,2,Individual,Petrol,Manual,20.7,1197,81.86,5,710000,13.1357092861044
100,Honda City,Honda,City,5,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000,15.693704739225286
101,Honda Amaze,Honda,Amaze,3,Individual,Diesel,Manual,25.8,1498,98.6,5,720000,15.609640474436812
102,Hyundai i20,Hyundai,i20,6,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,14.872674880270605
103,Hyundai Verna,Hyundai,Verna,6,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000,15.747143998186747
104,Maruti Swift,Maruti,Swift,3,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000,13.287712379549449
105,Maruti Swift,Maruti,Swift,6,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000,15.988152097690541
106,Hyundai Grand,Hyundai,Grand,5,Individual,Petrol,Manual,18.9,1197,82.0,5,475000,14.609640474436812
107,Maruti Ciaz,Maruti,Ciaz,6,Individual,Petrol,Manual,20.73,1373,91.1,5,530000,16.095067301607052
108,Hyundai Verna,Hyundai,Verna,6,Individual,Petrol,Manual,17.01,1591,121.3,5,650000,13.151650829973422
109,Honda City,Honda,City,11,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000,16.392049039364185
110,Ford Figo,Ford,Figo,10,Individual,Diesel,Manual,20.0,1399,68.0,5,300000,15.872674880270605
111,Mahindra Scorpio,Mahindra,Scorpio,9,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,17.37517522079979
112,Maruti Swift Dzire,Maruti,Swift Dzire,3,Individual,Petrol,Manual,22.0,1197,81.8,5,650000,13.872674880270605
113,Maruti Swift,Maruti,Swift,5,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000,16.120501148404426
114,Maruti Alto,Maruti,Alto,3,Individual,Petrol,Manual,23.95,998,67.05,5,360000,14.287712379549449
115,Maruti Celerio,Maruti,Celerio,1,Individual,Petrol,Manual,21.63,998,67.04,5,505000,13.086799685623452
116,Maruti Alto,Maruti,Alto,2,Individual,Petrol,Manual,24.7,796,47.3,5,310000,14.609640474436812
117,Hyundai i20,Hyundai,i20,6,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000,15.358101707440847
118,Maruti Baleno,Maruti,Baleno,3,Individual,Petrol,Manual,21.4,1197,83.1,5,580000,15.609640474436812
119,Maruti Wagon R,Maruti,Wagon R,10,Individual,Petrol,Manual,18.9,998,67.1,5,250000,15.82376527978966
120,Hyundai Verna,Hyundai,Verna,4,Individual,Petrol,Manual,17.43,1396,105.5,5,650000,15.1357092861044
121,Maruti Ertiga,Maruti,Ertiga,3,Individual,Diesel,Manual,25.47,1248,88.5,7,410000,14.872674880270605
122,Ford Ecosport,Ford,Ecosport,6,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000,17.312989282073723
123,Ford Ecosport,Ford,Ecosport,3,Individual,Diesel,Manual,23.0,1498,98.96,5,890000,12.872674880270605
124,Ford Figo,Ford,Figo,9,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,16.175237650291038
125,Hyundai i20,Hyundai,i20,6,Individual,Petrol,Manual,18.6,1197,81.83,5,450000,15.609640474436812
126,Maruti Baleno,Maruti,Baleno,4,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,16.609640474436812
127,Maruti Celerio,Maruti,Celerio,7,Individual,Petrol,Manual,23.1,998,67.04,5,320000,15.095067301607054
128,Hyundai i20,Hyundai,i20,5,Individual,Diesel,Manual,21.19,1396,88.73,5,700000,15.609640474436812
129,Maruti Alto,Maruti,Alto,5,Individual,Petrol,Manual,22.74,796,47.3,5,320000,13.340128273700588
130,Honda City,Honda,City,8,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000,15.919980595048962
131,Hyundai i20,Hyundai,i20,5,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,15.287712379549449
132,Maruti Swift,Maruti,Swift,4,Individual,Petrol,Manual,22.0,1197,81.8,5,445000,15.872674880270605
133,Honda City,Honda,City,7,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000,15.943064208162003
134,Honda City,Honda,City,10,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000,15.747143998186747
135,Hyundai i20,Hyundai,i20,5,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000,13.425215903299383
136,Renault KWID,Renault,KWID,4,Individual,Petrol,Manual,23.01,999,67.0,5,360000,14.053247125912426
137,Maruti Alto,Maruti,Alto,4,Individual,Petrol,Manual,24.7,796,47.3,5,275000,14.609640474436812
138,Hyundai Grand,Hyundai,Grand,6,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000,15.919980595048962
139,Maruti Swift Dzire,Maruti,Swift Dzire,12,Individual,Petrol,Manual,17.5,1298,85.8,5,275000,15.848427334023928
140,Honda City,Honda,City,7,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000,16.393943429248093
141,Maruti Swift Dzire,Maruti,Swift Dzire,3,Individual,Diesel,Manual,28.4,1248,74.02,5,750000,13.287712379549449
142,Maruti Wagon R,Maruti,Wagon R,6,Individual,Petrol,Manual,20.51,998,67.04,5,272000,16.49774270780992
143,Maruti Ciaz,Maruti,Ciaz,2,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000,14.754730951239232
144,Maruti Alto,Maruti,Alto,8,Individual,Petrol,Manual,20.92,998,67.1,5,280000,15.49691617634313
145,Renault KWID,Renault,KWID,1,Individual,Petrol,Manual,22.3,799,53.26,5,450000,12.550746785383243
146,Hyundai i20,Hyundai,i20,4,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000,15.965784284662087
147,Mahindra Scorpio,Mahindra,Scorpio,4,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000,16.50494309577012
148,Maruti Alto,Maruti,Alto,8,Dealer,Petrol,Manual,22.74,796,47.3,5,235000,14.677279191312175
149,Maruti Baleno,Maruti,Baleno,4,Individual,Petrol,Manual,21.4,1197,83.1,5,590000,14.609640474436812
150,Mahindra Scorpio,Mahindra,Scorpio,14,Individual,Diesel,Manual,13.5,2179,115.0,5,280000,16.747143998186747
151,Honda City,Honda,City,3,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,14.609640474436812
152,Hyundai Grand,Hyundai,Grand,6,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000,15.1357092861044
153,Maruti Swift Dzire,Maruti,Swift Dzire,6,Individual,Diesel,Manual,26.59,1248,74.0,5,530000,15.287712379549449
154,Renault KWID,Renault,KWID,3,Dealer,Petrol,Manual,25.17,799,53.3,5,295000,14.874501137603444
155,Maruti Swift,Maruti,Swift,3,Individual,Petrol,Manual,21.21,1197,81.8,5,530000,12.287712379549449
156,Renault KWID,Renault,KWID,4,Individual,Petrol,Automatic,24.04,999,67.0,5,350000,15.095067301607054
157,Ford Ecosport,Ford,Ecosport,8,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000,15.919980595048962
158,Mahindra Scorpio,Mahindra,Scorpio,6,Individual,Diesel,Manual,15.4,2179,120.0,7,920000,16.28771237954945
159,Mahindra XUV500,Mahindra,XUV500,8,Individual,Diesel,Manual,15.1,2179,140.0,7,550000,15.872674880270605
160,Hyundai Verna,Hyundai,Verna,7,Individual,Diesel,Manual,22.32,1582,126.32,5,635000,15.45763738099176
161,Mahindra XUV500,Mahindra,XUV500,4,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000,15.609640474436812
162,Maruti Alto,Maruti,Alto,3,Individual,Petrol,Manual,24.7,796,47.3,5,300000,13.550746785383243
163,Honda City,Honda,City,3,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000,13.550746785383243
164,Maruti Vitara,Maruti,Vitara,3,Individual,Diesel,Manual,24.3,1248,88.5,5,750000,13.872674880270605
165,Volkswagen Polo,Volkswagen,Polo,10,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000,15.943064208162003
166,Ford Figo,Ford,Figo,10,Individual,Diesel,Manual,20.0,1399,68.0,5,250000,17.29490788095365
167,Hyundai Verna,Hyundai,Verna,7,Individual,Diesel,Manual,22.32,1582,126.32,5,610000,16.872674880270605
168,Ford Ecosport,Ford,Ecosport,5,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000,16.25574781954242
169,Hyundai Verna,Hyundai,Verna,8,Individual,Diesel,Manual,22.32,1582,126.3,5,480000,16.785963247077273
170,Hyundai i20,Hyundai,i20,7,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000,15.66622400280318
171,Toyota Innova,Toyota,Innova,9,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000,16.733968609439014
172,Hyundai Grand,Hyundai,Grand,4,Individual,Petrol,Manual,18.9,1197,82.0,5,470000,16.457637380991763
173,Volkswagen Polo,Volkswagen,Polo,10,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000,16.580494128777296
174,Hyundai i20,Hyundai,i20,5,Individual,Diesel,Manual,21.19,1396,88.73,5,699000,14.287712379549449
175,Maruti Wagon R,Maruti,Wagon R,7,Individual,Petrol,Manual,20.51,998,67.04,5,340000,14.406537201658063
176,Honda City,Honda,City,4,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000,15.609640474436812
177,Maruti Swift,Maruti,Swift,4,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000,14.766735939529964
178,Hyundai i10,Hyundai,i10,13,Individual,Petrol,Manual,20.36,1197,78.9,5,160000,15.804105806074809
179,Maruti Swift Dzire,Maruti,Swift Dzire,7,Individual,Diesel,Manual,23.4,1248,74.0,5,500000,15.872674880270605
180,Maruti Alto,Maruti,Alto,16,Individual,Petrol,Manual,19.7,796,46.3,5,85000,16.095067301607052
181,Maruti Swift,Maruti,Swift,8,Dealer,Petrol,Manual,22.0,1197,81.8,5,375000,15.076523354916334
182,Maruti Vitara,Maruti,Vitara,3,Individual,Diesel,Manual,24.3,1248,88.5,5,810000,15.287712379549449
183,Volkswagen Polo,Volkswagen,Polo,11,Individual,Petrol,Manual,16.47,1198,73.9,5,173000,18.416995396494414
184,Maruti Vitara,Maruti,Vitara,4,Individual,Diesel,Manual,24.3,1248,88.5,5,700000,15.609640474436812
185,Mahindra Scorpio,Mahindra,Scorpio,4,Individual,Diesel,Manual,15.4,1997,120.0,7,850000,16.872674880270605
186,Hyundai i20,Hyundai,i20,8,Individual,Diesel,Manual,22.54,1396,88.76,5,285000,16.457637380991763
187,Maruti Swift Dzire,Maruti,Swift Dzire,7,Individual,Diesel,Manual,23.4,1248,74.0,5,450000,16.872674880270605
188,Hyundai Creta,Hyundai,Creta,4,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000,16.28771237954945
189,Mahindra Scorpio,Mahindra,Scorpio,4,Individual,Diesel,Manual,15.4,1997,120.0,7,1080000,14.872674880270605
190,Honda City,Honda,City,7,Dealer,Diesel,Manual,26.0,1498,98.6,5,530000,16.012362651282416
191,Maruti Swift Dzire,Maruti,Swift Dzire,4,Individual,Diesel,Manual,28.4,1248,74.02,5,680000,15.609640474436812
192,Mahindra Scorpio,Mahindra,Scorpio,4,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000,15.358101707440847
193,Hyundai i20,Hyundai,i20,4,Individual,Petrol,Manual,18.6,1197,81.83,5,650000,15.747143998186747
194,Hyundai i10,Hyundai,i10,9,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000,16.756282664021885
195,Maruti Baleno,Maruti,Baleno,2,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000,12.287712379549449
196,Maruti Alto,Maruti,Alto,5,Individual,Petrol,Manual,22.74,796,47.3,5,200000,15.609640474436812
197,Maruti Swift Dzire,Maruti,Swift Dzire,11,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000,15.425215903299383
198,Maruti Vitara,Maruti,Vitara,3,Individual,Diesel,Manual,24.3,1248,88.5,5,730000,16.457637380991763
199,Hyundai Verna,Hyundai,Verna,5,Dealer,Petrol,Manual,17.01,1591,121.3,5,650000,15.747143998186747
200,Maruti Vitara,Maruti,Vitara,4,Dealer,Diesel,Manual,24.3,1248,88.5,5,790000,15.45763738099176
201,Maruti Baleno,Maruti,Baleno,4,Individual,Petrol,Manual,21.4,1197,83.1,5,620000,14.872674880270605
202,Hyundai Verna,Hyundai,Verna,8,Individual,Petrol,Manual,17.01,1591,121.3,5,510000,15.609640474436812
203,Toyota Innova,Toyota,Innova,4,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000,15.674523326021665
204,Honda City,Honda,City,5,Individual,Petrol,Automatic,18.0,1497,117.3,5,845000,15.287712379549449
205,Maruti Swift Dzire,Maruti,Swift Dzire,7,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000,15.908298790001327
206,Honda Amaze,Honda,Amaze,6,Dealer,Petrol,Manual,18.0,1198,86.7,5,395000,15.848427334023928
207,Hyundai Grand,Hyundai,Grand,3,Individual,Petrol,Manual,18.9,1197,81.86,5,450000,15.287712379549449
208,Hyundai Grand,Hyundai,Grand,8,Dealer,Petrol,Manual,18.9,1197,82.0,5,325000,15.896521622224974
209,Mahindra XUV500,Mahindra,XUV500,8,Dealer,Diesel,Manual,15.1,2179,140.0,7,650000,15.943064208162003
210,Maruti Swift Dzire,Maruti,Swift Dzire,4,Individual,Diesel,Manual,28.4,1248,74.02,5,750000,14.425215903299383
211,Honda City,Honda,City,11,Dealer,Petrol,Manual,17.0,1497,118.0,5,299000,15.823193063119536
212,Maruti Ertiga,Maruti,Ertiga,7,Dealer,Diesel,Manual,20.77,1248,88.76,7,524000,15.558002098774807
213,Ford Figo,Ford,Figo,9,Dealer,Diesel,Manual,20.0,1399,68.05,5,169000,16.053247125912428
214,Maruti Ertiga,Maruti,Ertiga,7,Individual,Diesel,Manual,20.77,1248,88.8,7,500000,15.287712379549449
215,Maruti Swift Dzire,Maruti,Swift Dzire,8,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,16.791697083447062
216,Maruti Wagon R,Maruti,Wagon R,3,Individual,Petrol,Automatic,20.51,998,67.0,5,400000,16.28771237954945
217,Maruti Wagon R,Maruti,Wagon R,6,Dealer,Petrol,Manual,20.51,998,67.04,5,335000,14.30862344513114
218,Mahindra Scorpio,Mahindra,Scorpio,11,Dealer,Diesel,Manual,12.05,2179,120.0,7,300000,16.051123954019456
219,Mahindra Scorpio,Mahindra,Scorpio,6,Dealer,Diesel,Manual,15.4,1997,120.0,7,1051000,15.287712379549449
220,Hyundai Grand,Hyundai,Grand,4,Individual,Diesel,Manual,24.0,1186,73.97,5,510000,15.872674880270605
221,Renault KWID,Renault,KWID,3,Individual,Petrol,Automatic,24.04,999,67.0,5,370000,14.609640474436812
222,Maruti Wagon R,Maruti,Wagon R,15,Individual,Petrol,Manual,18.9,998,67.1,5,200000,16.095067301607052
223,Maruti Baleno,Maruti,Baleno,3,Individual,Diesel,Manual,27.39,1248,74.0,5,625000,14.358101707440847
224,Mahindra Scorpio,Mahindra,Scorpio,3,Dealer,Diesel,Manual,16.36,2179,140.0,7,1290000,15.251186503524336
225,Hyundai Creta,Hyundai,Creta,4,Dealer,Petrol,Manual,15.8,1591,121.3,5,890000,14.872674880270605
226,Hyundai Verna,Hyundai,Verna,9,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000,15.896521622224974
227,Hyundai Grand,Hyundai,Grand,3,Individual,Petrol,Manual,18.9,1197,81.86,5,600000,14.56271942704932
228,Maruti Baleno,Maruti,Baleno,4,Individual,Diesel,Manual,27.39,1248,74.0,5,590000,15.798674298826828
229,Hyundai i10,Hyundai,i10,10,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000,15.82376527978966
